T08,"Teaching staff at the primary, lower secondary and upper secondary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at upper secondary level,55.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2019,Teachers at primary level,"4,628,013",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at primary level,69.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2019,Teachers at lower secondary level,"1,794,108",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at lower secondary level,56.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2019,Teachers at upper secondary level,"1,374,239",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at upper secondary level,63.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2021,Teachers at primary level,"4,838,624",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2021,Teachers with minimum required qualifications at primary level,69.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2021,Teachers at lower secondary level,"1,908,687",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2021,Teachers at upper secondary level,"1,489,047",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Teachers at primary level,"4,930,932",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Teachers at lower secondary level,"1,997,632",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2022,Teachers at upper secondary level,"1,530,261",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2005,Teachers at primary level,"1,781,228",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2005,Teachers at lower secondary level,"889,242",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2005,Teachers at upper secondary level,"897,377",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2010,Teachers at primary level,"1,830,439",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2010,Teachers at lower secondary level,"862,886",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
