T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2015,Major trading partner 3 (% of exports),China,,0.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2023,Major trading partner 3 (% of exports),China,,9.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of imports),Trinidad and Tobago,,3.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2020,Major trading partner 3 (% of imports),Trinidad and Tobago,,4.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2023,Major trading partner 3 (% of imports),Trinidad and Tobago,,4.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2015,Major trading partner 1 (% of exports),Brazil,,17.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2020,Major trading partner 1 (% of exports),Brazil,,14.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2023,Major trading partner 1 (% of exports),Brazil,,17.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2015,Major trading partner 1 (% of imports),Brazil,,21.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2020,Major trading partner 1 (% of imports),Brazil,,20.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2023,Major trading partner 1 (% of imports),Brazil,,23.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2015,Major trading partner 2 (% of exports),United States,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2020,Major trading partner 2 (% of exports),United States,,6.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2023,Major trading partner 2 (% of exports),United States,,8.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2015,Major trading partner 2 (% of imports),China,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2020,Major trading partner 2 (% of imports),China,,20.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2023,Major trading partner 2 (% of imports),China,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2015,Major trading partner 3 (% of exports),China,,9.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2020,Major trading partner 3 (% of exports),China,,9.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2023,Major trading partner 3 (% of exports),China,,7.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2015,Major trading partner 3 (% of imports),United States,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2020,Major trading partner 3 (% of imports),United States,,10.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
32,Argentina,2023,Major trading partner 3 (% of imports),United States,,11.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2015,Major trading partner 1 (% of exports),Russian Federation,,15.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2020,Major trading partner 1 (% of exports),Russian Federation,,26.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2023,Major trading partner 1 (% of exports),Russian Federation,,40.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2015,Major trading partner 1 (% of imports),Russian Federation,,30.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2020,Major trading partner 1 (% of imports),Russian Federation,,33.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2023,Major trading partner 1 (% of imports),Russian Federation,,32.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2015,Major trading partner 2 (% of exports),United Arab Emirates,,0.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2020,Major trading partner 2 (% of exports),United Arab Emirates,,3.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2023,Major trading partner 2 (% of exports),United Arab Emirates,,26.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2015,Major trading partner 2 (% of imports),China,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2020,Major trading partner 2 (% of imports),China,,14.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2023,Major trading partner 2 (% of imports),China,,13.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2015,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,0.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2020,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,0.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2023,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,8.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2015,Major trading partner 3 (% of imports),Viet Nam,,0.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2020,Major trading partner 3 (% of imports),Viet Nam,,0.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
51,Armenia,2023,Major trading partner 3 (% of imports),Viet Nam,,6.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
533,Aruba,2015,Major trading partner 1 (% of exports),Colombia,,27.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
533,Aruba,2020,Major trading partner 1 (% of exports),Colombia,,14.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
