T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
678,Sao Tome and Principe,2022,Net official development assistance received: Bilateral  (millions of US dollars),17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,1985,Net official development assistance received: Multilateral (millions of US dollars),6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,1995,Net official development assistance received: Multilateral (millions of US dollars),12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2005,Net official development assistance received: Multilateral (millions of US dollars),23,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2010,Net official development assistance received: Multilateral (millions of US dollars),14,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2015,Net official development assistance received: Multilateral (millions of US dollars),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2020,Net official development assistance received: Multilateral (millions of US dollars),46,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2021,Net official development assistance received: Multilateral (millions of US dollars),33,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2022,Net official development assistance received: Multilateral (millions of US dollars),37,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,1985,Net official development assistance received: Total (millions of US dollars),12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,1995,Net official development assistance received: Total (millions of US dollars),84,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2005,Net official development assistance received: Total (millions of US dollars),33,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2010,Net official development assistance received: Total (millions of US dollars),50,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2015,Net official development assistance received: Total (millions of US dollars),49,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2020,Net official development assistance received: Total (millions of US dollars),92,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2021,Net official development assistance received: Total (millions of US dollars),72,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2022,Net official development assistance received: Total (millions of US dollars),54,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2005,Net official development assistance received: Total (as % GNI),24.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2010,Net official development assistance received: Total (as % GNI),25.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2015,Net official development assistance received: Total (as % GNI),15.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2020,Net official development assistance received: Total (as % GNI),19.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
678,Sao Tome and Principe,2021,Net official development assistance received: Total (as % GNI),13.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1985,Net official development assistance received: Bilateral  (millions of US dollars),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1995,Net official development assistance received: Bilateral  (millions of US dollars),17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,2005,Net official development assistance received: Bilateral  (millions of US dollars),23,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1985,Net official development assistance received: Multilateral (millions of US dollars),12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1995,Net official development assistance received: Multilateral (millions of US dollars),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,2005,Net official development assistance received: Multilateral (millions of US dollars),2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1985,Net official development assistance received: Total (millions of US dollars),27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1995,Net official development assistance received: Total (millions of US dollars),17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,2005,Net official development assistance received: Total (millions of US dollars),25,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1985,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,1995,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
682,Saudi Arabia,2005,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1985,Net official development assistance received: Bilateral  (millions of US dollars),249,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1995,Net official development assistance received: Bilateral  (millions of US dollars),489,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2005,Net official development assistance received: Bilateral  (millions of US dollars),429,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2010,Net official development assistance received: Bilateral  (millions of US dollars),654,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2015,Net official development assistance received: Bilateral  (millions of US dollars),618,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2020,Net official development assistance received: Bilateral  (millions of US dollars),"1,192",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2021,Net official development assistance received: Bilateral  (millions of US dollars),994,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2022,Net official development assistance received: Bilateral  (millions of US dollars),"1,107",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1985,Net official development assistance received: Multilateral (millions of US dollars),42,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1995,Net official development assistance received: Multilateral (millions of US dollars),163,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2005,Net official development assistance received: Multilateral (millions of US dollars),272,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2010,Net official development assistance received: Multilateral (millions of US dollars),283,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2015,Net official development assistance received: Multilateral (millions of US dollars),251,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2020,Net official development assistance received: Multilateral (millions of US dollars),420,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2021,Net official development assistance received: Multilateral (millions of US dollars),396,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2022,Net official development assistance received: Multilateral (millions of US dollars),346,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1985,Net official development assistance received: Total (millions of US dollars),290,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1995,Net official development assistance received: Total (millions of US dollars),652,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2005,Net official development assistance received: Total (millions of US dollars),701,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2010,Net official development assistance received: Total (millions of US dollars),936,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2015,Net official development assistance received: Total (millions of US dollars),869,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2020,Net official development assistance received: Total (millions of US dollars),"1,612",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2021,Net official development assistance received: Total (millions of US dollars),"1,389",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2022,Net official development assistance received: Total (millions of US dollars),"1,453",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1985,Net official development assistance received: Total (as % GNI),7.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,1995,Net official development assistance received: Total (as % GNI),10.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2005,Net official development assistance received: Total (as % GNI),6.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2010,Net official development assistance received: Total (as % GNI),5.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2015,Net official development assistance received: Total (as % GNI),5.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2020,Net official development assistance received: Total (as % GNI),6.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
686,Senegal,2021,Net official development assistance received: Total (as % GNI),5.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,1995,Net official development assistance received: Bilateral  (millions of US dollars),92,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2005,Net official development assistance received: Bilateral  (millions of US dollars),838,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2010,Net official development assistance received: Bilateral  (millions of US dollars),300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2015,Net official development assistance received: Bilateral  (millions of US dollars),-75,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2020,Net official development assistance received: Bilateral  (millions of US dollars),178,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2021,Net official development assistance received: Bilateral  (millions of US dollars),103,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2022,Net official development assistance received: Bilateral  (millions of US dollars),87,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,1995,Net official development assistance received: Multilateral (millions of US dollars),3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2005,Net official development assistance received: Multilateral (millions of US dollars),231,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2010,Net official development assistance received: Multilateral (millions of US dollars),361,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2015,Net official development assistance received: Multilateral (millions of US dollars),387,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2020,Net official development assistance received: Multilateral (millions of US dollars),310,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2021,Net official development assistance received: Multilateral (millions of US dollars),430,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2022,Net official development assistance received: Multilateral (millions of US dollars),423,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,1995,Net official development assistance received: Total (millions of US dollars),95,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2005,Net official development assistance received: Total (millions of US dollars),"1,068",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2010,Net official development assistance received: Total (millions of US dollars),661,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2015,Net official development assistance received: Total (millions of US dollars),312,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2020,Net official development assistance received: Total (millions of US dollars),488,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2021,Net official development assistance received: Total (millions of US dollars),533,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2022,Net official development assistance received: Total (millions of US dollars),510,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2005,Net official development assistance received: Total (as % GNI),4.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2010,Net official development assistance received: Total (as % GNI),1.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2015,Net official development assistance received: Total (as % GNI),0.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2020,Net official development assistance received: Total (as % GNI),1.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
688,Serbia,2021,Net official development assistance received: Total (as % GNI),0.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1985,Net official development assistance received: Bilateral  (millions of US dollars),19,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1995,Net official development assistance received: Bilateral  (millions of US dollars),12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2005,Net official development assistance received: Bilateral  (millions of US dollars),12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2010,Net official development assistance received: Bilateral  (millions of US dollars),43,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2015,Net official development assistance received: Bilateral  (millions of US dollars),1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1985,Net official development assistance received: Multilateral (millions of US dollars),3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1995,Net official development assistance received: Multilateral (millions of US dollars),2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2005,Net official development assistance received: Multilateral (millions of US dollars),6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2010,Net official development assistance received: Multilateral (millions of US dollars),11,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2015,Net official development assistance received: Multilateral (millions of US dollars),6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1985,Net official development assistance received: Total (millions of US dollars),22,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1995,Net official development assistance received: Total (millions of US dollars),13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2005,Net official development assistance received: Total (millions of US dollars),17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2010,Net official development assistance received: Total (millions of US dollars),54,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2015,Net official development assistance received: Total (millions of US dollars),7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1985,Net official development assistance received: Total (as % GNI),13.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,1995,Net official development assistance received: Total (as % GNI),2.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2005,Net official development assistance received: Total (as % GNI),1.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2010,Net official development assistance received: Total (as % GNI),5.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
690,Seychelles,2015,Net official development assistance received: Total (as % GNI),0.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1985,Net official development assistance received: Bilateral  (millions of US dollars),43,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1995,Net official development assistance received: Bilateral  (millions of US dollars),136,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2005,Net official development assistance received: Bilateral  (millions of US dollars),131,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2010,Net official development assistance received: Bilateral  (millions of US dollars),221,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2015,Net official development assistance received: Bilateral  (millions of US dollars),708,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2020,Net official development assistance received: Bilateral  (millions of US dollars),539,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2021,Net official development assistance received: Bilateral  (millions of US dollars),458,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2022,Net official development assistance received: Bilateral  (millions of US dollars),300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1985,Net official development assistance received: Multilateral (millions of US dollars),20,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1995,Net official development assistance received: Multilateral (millions of US dollars),76,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2005,Net official development assistance received: Multilateral (millions of US dollars),209,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2010,Net official development assistance received: Multilateral (millions of US dollars),237,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2015,Net official development assistance received: Multilateral (millions of US dollars),239,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2020,Net official development assistance received: Multilateral (millions of US dollars),302,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2021,Net official development assistance received: Multilateral (millions of US dollars),251,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2022,Net official development assistance received: Multilateral (millions of US dollars),218,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1985,Net official development assistance received: Total (millions of US dollars),64,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1995,Net official development assistance received: Total (millions of US dollars),212,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2005,Net official development assistance received: Total (millions of US dollars),340,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2010,Net official development assistance received: Total (millions of US dollars),458,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2015,Net official development assistance received: Total (millions of US dollars),947,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2020,Net official development assistance received: Total (millions of US dollars),841,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2021,Net official development assistance received: Total (millions of US dollars),710,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2022,Net official development assistance received: Total (millions of US dollars),518,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1985,Net official development assistance received: Total (as % GNI),7.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,1995,Net official development assistance received: Total (as % GNI),26.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2005,Net official development assistance received: Total (as % GNI),21.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2010,Net official development assistance received: Total (as % GNI),17.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2015,Net official development assistance received: Total (as % GNI),22.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2020,Net official development assistance received: Total (as % GNI),21.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
694,Sierra Leone,2021,Net official development assistance received: Total (as % GNI),17.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1985,Net official development assistance received: Bilateral  (millions of US dollars),21,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1995,Net official development assistance received: Bilateral  (millions of US dollars),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1985,Net official development assistance received: Multilateral (millions of US dollars),2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1995,Net official development assistance received: Multilateral (millions of US dollars),1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1985,Net official development assistance received: Total (millions of US dollars),23,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1995,Net official development assistance received: Total (millions of US dollars),17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1985,Net official development assistance received: Total (as % GNI),0.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
702,Singapore,1995,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
