T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,1985,Net official development assistance received: Total (as % GNI),3.6,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,1995,Net official development assistance received: Total (as % GNI),4.3,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2005,Net official development assistance received: Total (as % GNI),3.3,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2010,Net official development assistance received: Total (as % GNI),2.5,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2015,Net official development assistance received: Total (as % GNI),2.2,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2020,Net official development assistance received: Total (as % GNI),3.1,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2021,Net official development assistance received: Total (as % GNI),2.9,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),"2,849",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),"2,703",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),"1,705",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),"1,844",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),"3,779",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2020,Net official development assistance received: Bilateral  (millions of US dollars),"3,097",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2021,Net official development assistance received: Bilateral  (millions of US dollars),"7,771",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2022,Net official development assistance received: Bilateral  (millions of US dollars),"7,486",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),142,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),277,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),980,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),823,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2015,Net official development assistance received: Multilateral (millions of US dollars),"1,294",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2020,Net official development assistance received: Multilateral (millions of US dollars),"2,175",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2021,Net official development assistance received: Multilateral (millions of US dollars),"3,223",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2022,Net official development assistance received: Multilateral (millions of US dollars),"1,526",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1985,Net official development assistance received: Total (millions of US dollars),"2,991",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1995,Net official development assistance received: Total (millions of US dollars),"2,981",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2005,Net official development assistance received: Total (millions of US dollars),"2,685",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2010,Net official development assistance received: Total (millions of US dollars),"2,667",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2015,Net official development assistance received: Total (millions of US dollars),"5,072",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2020,Net official development assistance received: Total (millions of US dollars),"5,272",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2021,Net official development assistance received: Total (millions of US dollars),"10,994",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2022,Net official development assistance received: Total (millions of US dollars),"9,012",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1985,Net official development assistance received: Total (as % GNI),2.6,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,1995,Net official development assistance received: Total (as % GNI),1.9,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2005,Net official development assistance received: Total (as % GNI),0.8,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2010,Net official development assistance received: Total (as % GNI),0.5,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2015,Net official development assistance received: Total (as % GNI),0.8,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2020,Net official development assistance received: Total (as % GNI),0.8,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
15,Northern Africa,2021,Net official development assistance received: Total (as % GNI),1.4,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),159,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),730,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),513,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),"1,216",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),"1,134",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2020,Net official development assistance received: Bilateral  (millions of US dollars),"1,269",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2021,Net official development assistance received: Bilateral  (millions of US dollars),"1,041",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2022,Net official development assistance received: Bilateral  (millions of US dollars),"1,194",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),58,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),107,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),445,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),584,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2015,Net official development assistance received: Multilateral (millions of US dollars),674,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2020,Net official development assistance received: Multilateral (millions of US dollars),522,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2021,Net official development assistance received: Multilateral (millions of US dollars),632,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2022,Net official development assistance received: Multilateral (millions of US dollars),560,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1985,Net official development assistance received: Total (millions of US dollars),217,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1995,Net official development assistance received: Total (millions of US dollars),837,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2005,Net official development assistance received: Total (millions of US dollars),958,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2010,Net official development assistance received: Total (millions of US dollars),"1,799",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2015,Net official development assistance received: Total (millions of US dollars),"1,807",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2020,Net official development assistance received: Total (millions of US dollars),"1,791",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2021,Net official development assistance received: Total (millions of US dollars),"1,673",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2022,Net official development assistance received: Total (millions of US dollars),"1,754",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1985,Net official development assistance received: Total (as % GNI),0.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,1995,Net official development assistance received: Total (as % GNI),0.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2005,Net official development assistance received: Total (as % GNI),0.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2010,Net official development assistance received: Total (as % GNI),0.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
18,Southern Africa,2015,Net official development assistance received: Total (as % GNI),0.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
