T31,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
533,Aruba,2020,Tourism expenditure (millions of US dollars),,,"1,079",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
533,Aruba,2021,Tourism expenditure (millions of US dollars),,,"1,788",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
533,Aruba,2022,Tourism expenditure (millions of US dollars),,,"2,305",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,,"3,726",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,,"5,499",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,,"5,790",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2020,Tourist/visitor arrivals (thousands),VF,,"1,828",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2021,Tourist/visitor arrivals (thousands),VF,,246,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2022,Tourist/visitor arrivals (thousands),VF,,"3,694",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,1995,Tourism expenditure (millions of US dollars),,,"10,370",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2005,Tourism expenditure (millions of US dollars),,,"19,719",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2010,Tourism expenditure (millions of US dollars),,,"31,064",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2020,Tourism expenditure (millions of US dollars),,,"26,235",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2021,Tourism expenditure (millions of US dollars),,,"17,132",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
36,Australia,2022,Tourism expenditure (millions of US dollars),,,"24,214",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,,"17,173",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,,"19,952",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,,"22,004",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2020,Tourist/visitor arrivals (thousands),TCE,,"15,091",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2021,Tourist/visitor arrivals (thousands),TCE,,"12,728",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
40,Austria,2022,Tourist/visitor arrivals (thousands),TCE,,"26,215",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
