T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
32,Argentina,2010,Balance of Payments: Current account (millions of US dollars),"-1,623",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2015,Balance of Payments: Current account (millions of US dollars),"-17,622",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2021,Balance of Payments: Current account (millions of US dollars),"6,645",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2022,Balance of Payments: Current account (millions of US dollars),"-4,290",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2023,Balance of Payments: Current account (millions of US dollars),"-21,494",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,1995,Balance of Payments: Capital account (millions of US dollars),14,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2010,Balance of Payments: Capital account (millions of US dollars),78,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2015,Balance of Payments: Capital account (millions of US dollars),52,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2021,Balance of Payments: Capital account (millions of US dollars),253,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2022,Balance of Payments: Capital account (millions of US dollars),180,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2023,Balance of Payments: Capital account (millions of US dollars),142,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,1985,Balance of Payments: Financial account (millions of US dollars),"-1,484",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,1995,Balance of Payments: Financial account (millions of US dollars),"-7,777",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2010,Balance of Payments: Financial account (millions of US dollars),"-3,803",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2015,Balance of Payments: Financial account (millions of US dollars),"-18,497",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2021,Balance of Payments: Financial account (millions of US dollars),"3,788",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2022,Balance of Payments: Financial account (millions of US dollars),"-7,582",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,2023,Balance of Payments: Financial account (millions of US dollars),"-26,017",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,1995,Balance of Payments: Current account (millions of US dollars),-221,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2010,Balance of Payments: Current account (millions of US dollars),"-1,261",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2015,Balance of Payments: Current account (millions of US dollars),-281,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2021,Balance of Payments: Current account (millions of US dollars),-483,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2022,Balance of Payments: Current account (millions of US dollars),151,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2023,Balance of Payments: Current account (millions of US dollars),-510,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,1995,Balance of Payments: Capital account (millions of US dollars),8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2010,Balance of Payments: Capital account (millions of US dollars),99,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2015,Balance of Payments: Capital account (millions of US dollars),65,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2021,Balance of Payments: Capital account (millions of US dollars),63,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2022,Balance of Payments: Capital account (millions of US dollars),76,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2023,Balance of Payments: Capital account (millions of US dollars),48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,1995,Balance of Payments: Financial account (millions of US dollars),-198,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2010,Balance of Payments: Financial account (millions of US dollars),"-1,275",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2015,Balance of Payments: Financial account (millions of US dollars),-347,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2021,Balance of Payments: Financial account (millions of US dollars),-369,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2022,Balance of Payments: Financial account (millions of US dollars),252,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
51,Armenia,2023,Balance of Payments: Financial account (millions of US dollars),-373,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,1995,Balance of Payments: Current account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2010,Balance of Payments: Current account (millions of US dollars),-460,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2015,Balance of Payments: Current account (millions of US dollars),118,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2021,Balance of Payments: Current account (millions of US dollars),79,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2022,Balance of Payments: Current account (millions of US dollars),231,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
