country,country_code,indicator,indicator_code,year,value
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,2024,78779864877.3018
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,2024,526411265427.683
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2024,1881265333.4187
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2024,9925732119.72034
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,2023,508735107.033734
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,2024,53409988744.5968
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,2024,1323254808058.74
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,2024,64239891739.3311
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,2024,1745378000.0
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,2023,62280311.5852172
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,2024,53651874313.9836
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,2024,190741263731.535
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2024,537078829135.466
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2024,3643834188782.91
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2024,29184890000000.0
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,2024,80961511073.5797
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2024,114965293466.611
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,2024,1161251868.03498
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,2014,482359318767.703
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,2024,476388230307.175
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,2022,4672000000.0
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,2024,13711100000.0
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,2018,21606160663.0131
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,2024,26325775287.0226
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,2024,44187704410.1191
